gene
WBGene00001519
WBGene00021070
WBGene00013550
WBGene00003858
WBGene00003993
WBGene00001387
WBGene00004076
WBGene00006465
WBGene00020340
WBGene00001694
WBGene00014030
WBGene00003473
WBGene00017772
WBGene00011869
WBGene00004456
WBGene00009058
WBGene00010659
WBGene00019489
WBGene00000535
WBGene00006504
WBGene00003763
WBGene00003072
WBGene00001240
WBGene00021068
WBGene00021675
WBGene00009805
WBGene00020781
WBGene00011431
WBGene00013882
WBGene00008390
WBGene00017336
WBGene00021817
WBGene00017429
WBGene00004258
WBGene00012664
WBGene00010408
WBGene00007969
WBGene00019257
WBGene00007363
WBGene00000231
WBGene00012348
WBGene00017563
WBGene00010810
WBGene00004176
WBGene00000387
WBGene00010322
WBGene00000491
WBGene00014202
WBGene00016749
WBGene00016052
WBGene00013373
WBGene00001500
WBGene00009429
WBGene00010828
WBGene00011849
WBGene00000198
WBGene00006603
WBGene00018911
WBGene00010321
WBGene00017743
WBGene00001563
WBGene00007867
WBGene00011395
WBGene00007992
WBGene00014111
WBGene00020281
WBGene00010135
WBGene00022743
WBGene00009293
WBGene00012003
WBGene00011449
WBGene00019379
WBGene00014025
WBGene00004237
WBGene00012898
WBGene00001954
WBGene00018313
WBGene00008042
WBGene00004932
WBGene00021157
WBGene00009773
WBGene00009709
WBGene00012031
WBGene00012626
WBGene00018268
WBGene00010897
WBGene00006649
WBGene00007944
WBGene00011076
WBGene00004268
WBGene00016407
WBGene00021818
WBGene00016096
WBGene00020931
WBGene00003589
WBGene00021844
WBGene00001793
WBGene00005512
WBGene00017485
WBGene00000247
WBGene00006686
WBGene00021312
WBGene00021337
WBGene00019300
WBGene00012666
WBGene00000097
WBGene00022597
WBGene00004987
WBGene00021883
WBGene00010988
WBGene00011146
WBGene00017062
WBGene00013275
WBGene00004413
WBGene00016722
WBGene00020237
WBGene00019807
WBGene00016435
WBGene00012171
WBGene00010159
WBGene00021159
WBGene00004756
WBGene00019472
WBGene00022704
WBGene00021585
WBGene00022546
WBGene00010062
WBGene00010123
WBGene00000781
WBGene00019837
WBGene00017631
WBGene00018601
WBGene00017838
WBGene00016250
WBGene00010055
WBGene00001786
WBGene00006764
WBGene00011870
WBGene00017257
WBGene00018344
WBGene00007429
WBGene00019939
WBGene00009613
WBGene00022678
WBGene00004951
WBGene00021135
WBGene00012086
WBGene00019978
WBGene00006446
WBGene00001749
WBGene00019281
WBGene00021079
WBGene00004902
WBGene00006591
WBGene00004487
WBGene00010008
WBGene00006239
WBGene00008388
WBGene00017243
WBGene00016245
WBGene00009762
WBGene00001397
WBGene00018739
WBGene00022681
WBGene00001821
WBGene00019468
WBGene00011321
WBGene00015043
WBGene00011801
WBGene00001852
WBGene00019868
WBGene00017467
WBGene00006583
WBGene00000419
WBGene00017751
WBGene00004451
WBGene00007390
WBGene00012122
