gene
WBGene00000920
WBGene00001444
WBGene00001445
WBGene00001446
WBGene00001447
WBGene00001448
WBGene00001449
WBGene00001450
WBGene00001451
WBGene00001452
WBGene00001453
WBGene00001454
WBGene00001455
WBGene00001456
WBGene00001457
WBGene00001458
WBGene00001459
WBGene00001460
WBGene00001461
WBGene00001462
WBGene00001463
WBGene00001464
WBGene00002084
WBGene00002085
WBGene00002086
WBGene00002087
WBGene00002088
WBGene00002089
WBGene00002090
WBGene00002091
WBGene00002092
WBGene00002093
WBGene00002094
WBGene00002095
WBGene00002096
WBGene00002097
WBGene00002098
WBGene00002099
WBGene00002100
WBGene00002101
WBGene00002102
WBGene00002103
WBGene00002104
WBGene00002105
WBGene00002106
WBGene00002107
WBGene00002108
WBGene00002109
WBGene00002110
WBGene00002111
WBGene00002112
WBGene00002113
WBGene00002114
WBGene00002115
WBGene00002116
WBGene00002117
WBGene00002118
WBGene00002119
WBGene00002120
WBGene00002121
WBGene00003739
WBGene00003740
WBGene00003741
WBGene00003742
WBGene00003743
WBGene00003744
WBGene00003745
WBGene00003746
WBGene00003747
WBGene00003748
WBGene00003749
WBGene00003750
WBGene00003751
WBGene00003752
WBGene00003753
WBGene00003754
WBGene00003755
WBGene00003756
WBGene00003757
WBGene00003758
WBGene00003759
WBGene00003760
WBGene00003761
WBGene00003762
WBGene00003763
WBGene00003764
WBGene00003765
WBGene00003766
WBGene00003767
WBGene00003768
WBGene00003769
WBGene00003770
WBGene00003771
WBGene00007185
WBGene00007219
WBGene00007316
WBGene00007881
WBGene00008295
WBGene00009562
WBGene00010575
WBGene00010982
WBGene00011586
WBGene00013588
WBGene00015046
WBGene00016028
WBGene00016114
WBGene00017668
WBGene00017693
WBGene00018590
WBGene00019975
WBGene00020126
WBGene00022276
WBGene00044686
